"TFBS","Correlation_CAI","P_value_CAI","Adjusted_P_value_CAI","Null_Hypothesis_CAI","Correlation_Nc","P_value_Nc","Adjusted_P_value_Nc","Null_Hypothesis_Nc"
"ARF36",-0.154620378,0.038768843,0.045,"Reject",0.194096781215762,0.00922901800980677,0.0443819535063778,"Reject"
"DOF1.7",-0.159638479,0.03279675,0.045,"Reject",0.167346474868731,0.0251512765783785,0.0443819535063778,"Reject"
"DOF3.2",-0.178257798,0.016969333,0.042,"Reject",0.152547665909199,0.0414902370922099,0.0443819535063778,"Reject"
"ERF011",0.190327679,0.010712436,0.038,"Reject",-0.182714492625312,0.0143623140873032,0.0443819535063778,"Reject"
"ERF012",0.175935915,0.018483994,0.042,"Reject",-0.160080552529819,0.032310260437802,0.0443819535063778,"Reject"
"ERF15",0.247025677,0.000857173,0.038,"Reject",-0.152772650991623,0.0411872863024649,0.0443819535063778,"Reject"
"estExt_gwp_gw1.C_550163",0.152860311,0.041069753,0.045,"Reject",-0.154202350729107,0.0393052516784522,0.0443819535063778,"Reject"
"HHO5",0.167321188,0.025173612,0.045,"Reject",-0.172579395697262,0.0208804042883084,0.0443819535063778,"Reject"
"IDD4",0.19660274,0.008346251,0.038,"Reject",-0.156761835659109,0.0361167041532576,0.0443819535063778,"Reject"
"MYB3",0.150659316,0.044107472,0.046,"Reject",-0.153746124841635,0.0398977938104986,0.0443819535063778,"Reject"
"NAC038",0.180061558,0.015868348,0.042,"Reject",-0.171706304078953,0.0215461051277077,0.0443819535063778,"Reject"
"PHYPADRAFT_182268",0.152860311,0.041069753,0.045,"Reject",-0.154202350729107,0.0393052516784522,0.0443819535063778,"Reject"
"PK06182.1",0.154248404,0.039245852,0.045,"Reject",-0.195875785624168,0.00859428120755406,0.0443819535063778,"Reject"
