TFBS,Correlation,P_value,Adjusted_P_value,Null_Hypothesis
ASR3,-0.236,0.001,0.044,Reject
WRKY46,-0.215,0.004,0.044,Reject
CAMTA5,-0.213,0.004,0.044,Reject
NLP7,-0.197,0.008,0.044,Reject
PK06182.1,-0.196,0.009,0.044,Reject
ERF011,-0.183,0.014,0.044,Reject
TCP4,-0.181,0.015,0.044,Reject
TCP22,-0.177,0.018,0.044,Reject
HHO5,-0.173,0.021,0.044,Reject
NAC038,-0.172,0.022,0.044,Reject
MYB111,-0.165,0.027,0.044,Reject
NAC69,-0.164,0.028,0.044,Reject
ERF012,-0.160,0.032,0.044,Reject
HHO3,-0.159,0.033,0.044,Reject
IDD4,-0.157,0.036,0.044,Reject
PHYPADRAFT_182268,-0.154,0.039,0.044,Reject
estExt_gwp_gw1.C_550163,-0.154,0.039,0.044,Reject
MYB3,-0.154,0.040,0.044,Reject
ERF15,-0.153,0.041,0.044,Reject
MYB61,-0.152,0.042,0.044,Reject
PK21166.1,-0.151,0.043,0.044,Reject
WRKY12,-0.151,0.043,0.044,Reject
BPC1,0.149,0.046,0.046,Reject
DOF3.2,0.153,0.041,0.044,Reject
JUB1,0.153,0.040,0.044,Reject
BAM8,0.156,0.037,0.044,Reject
E2FD,0.159,0.033,0.044,Reject
E2FE,0.159,0.033,0.044,Reject
PK24978.1,0.160,0.032,0.044,Reject
SPL18A,0.163,0.029,0.044,Reject
ERF6,0.164,0.029,0.044,Reject
PK24580.1,0.164,0.029,0.044,Reject
DOF1.7,0.167,0.025,0.044,Reject
O2,0.167,0.025,0.044,Reject
BEH4,0.170,0.023,0.044,Reject
SPL1D,0.179,0.017,0.044,Reject
SPL16D,0.182,0.015,0.044,Reject
SPL2B,0.182,0.015,0.044,Reject
BPC5,0.182,0.015,0.044,Reject
abi4,0.191,0.010,0.044,Reject
ARF36,0.194,0.009,0.044,Reject
ZHD14,0.204,0.006,0.044,Reject
