"TFBS","Correlation","P_value","Adjusted_P_value","Null_Hypothesis"
"ABF1",0.00772095539645637,0.918298556904788,0.9858514737575,"Accept"
"ABF2",0.112068966737157,0.135284019839343,0.820522430561256,"Accept"
"ABF3",0.0398052231331334,0.59678023351153,0.984827474550717,"Accept"
"ABF4",-0.00680541267171269,0.927958721670156,0.9858514737575,"Accept"
"ABI5",0.112038181844799,0.135392036906267,0.820522430561256,"Accept"
"ABR1",0.0127965391357004,0.864999477888465,0.9858514737575,"Accept"
"AG",0.0409462407551493,0.586294392065044,0.976694212373758,"Accept"
"AGL1",-0.0984317057820249,0.189896249835458,0.867671968641295,"Accept"
"AGL13",0.0595095463342706,0.428764748086415,0.976216233894167,"Accept"
"AGL15",0.0832233462433438,0.268045641317534,0.890151564672227,"Accept"
"AGL16",-0.0164125658224303,0.827381203634065,0.9858514737575,"Accept"
"AGL27",-0.0627176964037624,0.40425365626452,0.962035005747031,"Accept"
"AGL3",0.0254009744470864,0.735728337639437,0.9858514737575,"Accept"
"AGL6",0.0695704022296694,0.354763354837196,0.916906759009371,"Accept"
"AGL63",-0.00454790598301227,0.951820439753145,0.9858514737575,"Accept"
"AHL12",-0.00186912078530101,0.980188999765945,0.989855433950583,"Accept"
"AHL13",0.00920860408629862,0.902628022670829,0.9858514737575,"Accept"
"AHL20",-0.057629123125566,0.443521258568618,0.976216233894167,"Accept"
"AHL25",-0.0158281793307221,0.833436508545956,0.9858514737575,"Accept"
"AIB",-0.0133749004781778,0.858959937946815,0.9858514737575,"Accept"
"AIL6",-0.0893987030722373,0.234015664202035,0.890151564672227,"Accept"
"AIL7",-0.0293583768122365,0.696447342831368,0.9858514737575,"Accept"
"ANL2",0.053546363449282,0.476530723994347,0.976216233894167,"Accept"
"ANT",-0.103217828816575,0.169143518789297,0.858495574099163,"Accept"
"AP1",0.121573307792743,0.104982496653203,0.82002994608002,"Accept"
"AP3",-0.025001984030798,0.739729008241884,0.9858514737575,"Accept"
"ARALYDRAFT_484486",-0.0333266534826181,0.657852854907493,0.9858514737575,"Accept"
"ARALYDRAFT_493022",-0.129526585468748,0.0839713261192409,0.807920882388444,"Accept"
"ARALYDRAFT_495258",-0.0333266534826181,0.657852854907493,0.9858514737575,"Accept"
"ARALYDRAFT_496250",-0.0594996365249392,0.42884176512765,0.976216233894167,"Accept"
"ARALYDRAFT_897773",-0.114876253709489,0.12570865564371,0.820522430561256,"Accept"
"ARF1",0.00909523062686704,0.903821026012688,0.9858514737575,"Accept"
"ARF10",0.0570592429832452,0.448049508983313,0.976216233894167,"Accept"
"ARF13",0.0490513624638051,0.514364055987205,0.976216233894167,"Accept"
"ARF14",0.0488523875791676,0.516073840931244,0.976216233894167,"Accept"
"ARF16",0.0191926546503964,0.798719419757136,0.9858514737575,"Accept"
"ARF18",-0.00175416841959958,0.98140716566651,0.989855433950583,"Accept"
"ARF25",0.00534389223398622,0.943400920916492,0.9858514737575,"Accept"
"ARF27",-0.0894511382046469,0.233740349802125,0.890151564672227,"Accept"
"ARF29",0.00526545455972913,0.944230329711593,0.9858514737575,"Accept"
"ARF3",-0.0437904045380635,0.560532681617272,0.976216233894167,"Accept"
"ARF34",-0.103777056476085,0.16683329853776,0.858495574099163,"Accept"
"ARF35",-0.051100633015339,0.496926145574347,0.976216233894167,"Accept"
"ARF36",0.194096781215762,0.00922901800980677,0.742869364642466,"Accept"
"ARF39",0.111675044600007,0.136671191992365,0.821195281800281,"Accept"
"ARF4",-0.00935901683362662,0.9010456001088,0.9858514737575,"Accept"
"ARF5",0.00909523062686704,0.903821026012688,0.9858514737575,"Accept"
"ARF7",0.0631840275018559,0.400761300962739,0.961553565108551,"Accept"
"ARR10",-0.0146306081098792,0.845875797878434,0.9858514737575,"Accept"
"ARR11",-0.0806331227438389,0.283276491435852,0.890151564672227,"Accept"
"ARR14",-0.0850338257021541,0.257737079477238,0.890151564672227,"Accept"
"ARR18",0.0433300331287665,0.564665501772546,0.976216233894167,"Accept"
"ARR2",0.0663514911017196,0.377519328512175,0.94116016587003,"Accept"
"AS2",-0.0145024707594282,0.847209088929488,0.9858514737575,"Accept"
"ASIL2",-0.0558280043515598,0.457921258374023,0.976216233894167,"Accept"
"ASR1",-0.146190933646959,0.0508548383295565,0.807920882388444,"Accept"
"ASR3",-0.236196734767896,0.0014569737994941,0.742869364642466,"Accept"
"AT1G14600",0.000316791236543956,0.996641965331136,0.998061683230468,"Accept"
"AT1G19000",0.0405911028085026,0.589548987755387,0.979794180595833,"Accept"
"AT1G19040",-0.0257151804418047,0.732582786989361,0.9858514737575,"Accept"
"AT1G72740",-0.0844628036876813,0.260958515537424,0.890151564672227,"Accept"
"AT1G74840",0.0457082914102468,0.543473599233958,0.976216233894167,"Accept"
"AT1G76870",0.0482027486762234,0.521676446287659,0.976216233894167,"Accept"
"AT2G38090",0.00996662788545493,0.894657238376732,0.9858514737575,"Accept"
"AT2G38300",-0.0841838107921861,0.262542459708116,0.890151564672227,"Accept"
"AT2G40260",-0.0885062056240908,0.238736759697419,0.890151564672227,"Accept"
"AT3G10030",0.0083262668054158,0.911918207023316,0.9858514737575,"Accept"
"AT3G10580",0.0579994509644969,0.440592595152907,0.976216233894167,"Accept"
"AT3G46070",-0.0452930714617383,0.547145036827878,0.976216233894167,"Accept"
"AT4G12670",0.0648499806780129,0.388432532796527,0.949638647737563,"Accept"
"AT5G04760",0.0464448166654151,0.53699118773742,0.976216233894167,"Accept"
"AT5G05090",0.03503793664091,0.641477127943748,0.9858514737575,"Accept"
"AT5G05790",0.0823420217614873,0.27316405002888,0.890151564672227,"Accept"
"AT5G47660",-0.145317200995323,0.0522696619326427,0.807920882388444,"Accept"
"AT5G56840",0.0215798041645388,0.774319982187917,0.9858514737575,"Accept"
"AT5G61620",0.0513493787126482,0.494830954457936,0.976216233894167,"Accept"
"ATHB.12",-0.0198142659838877,0.792345987150811,0.9858514737575,"Accept"
"ATHB.13",-0.0563571025695147,0.453664332941379,0.976216233894167,"Accept"
"ATHB.15",-0.0125285835220326,0.867800279692457,0.9858514737575,"Accept"
"ATHB.16",-0.0788051795218558,0.29436839692019,0.895848411406466,"Accept"
"ATHB.20",-0.0409828599119122,0.585959272961871,0.976694212373758,"Accept"
"ATHB.4",0.0889412519797908,0.236427210606134,0.890151564672227,"Accept"
"ATHB.40",-0.0209459656291346,0.780778105476652,0.9858514737575,"Accept"
"ATHB.5",-0.0286099573363823,0.703818228520365,0.9858514737575,"Accept"
"ATHB.51",-0.0580027556271335,0.440566510476347,0.976216233894167,"Accept"
"ATHB.53",-0.0295690727675506,0.694377362816618,0.9858514737575,"Accept"
"ATHB.6",-0.0151387011331418,0.840593345163077,0.9858514737575,"Accept"
"ATHB.7",-0.00721176793852623,0.923669761572057,0.9858514737575,"Accept"
"ATHB.9",0.000541109760378215,0.99426418749502,0.997100889884449,"Accept"
"ATHB.X",-0.0129789487375047,0.863093803667588,0.9858514737575,"Accept"
"ATMYB31",0.0156950763661097,0.834817081307226,0.9858514737575,"Accept"
"AZF1",0.0904658827405455,0.228457140647989,0.890151564672227,"Accept"
"At3g11280",0.044553903173141,0.553710840624189,0.976216233894167,"Accept"
"BAD1",0.125553554193317,0.0940015082995515,0.807920882388444,"Accept"
"BAM8",0.156317187405681,0.0366544023199223,0.742869364642466,"Accept"
"BEH2",0.118139705109198,0.115245128197341,0.820522430561256,"Accept"
"BEH3",0.100165101559317,0.182175413932722,0.867671968641295,"Accept"
"BEH4",0.169761222614942,0.0230953281636143,0.742869364642466,"Accept"
"BHLH104",-0.104499153922431,0.163885138392998,0.858495574099163,"Accept"
"BHLH122",0.105473595345267,0.159968651287048,0.858495574099163,"Accept"
"BHLH13",0.087586009959669,0.243673727034041,0.890151564672227,"Accept"
