TF	CAI_R_value	CAI_P_value	Nc_R_value	Nc_P_value
ERF15	0.2470256773792769	0.0008571729486241496	-0.15277265099162265	0.041187286302465306
ERF011	0.1903276786221419	0.010712435967475595	-0.18271449262531192	0.01436231408730324
PK06182.1	0.15424840421917563	0.0392458516201455	-0.1958757856241679	0.008594281207554066
DOF3.2	-0.17825779840418232	0.016969333429468183	0.15254766590919908	0.04149023709220997
ARF36	-0.15462037764165265	0.038768842962711374	0.19409678121576165	0.009229018009806769
NAC038	0.18006155846670696	0.015868348465844995	-0.1717063040789527	0.021546105127707594
PHYPADRAFT_182268	0.1528603105549975	0.04106975345852947	-0.15420235072910665	0.03930525167845221
IDD4	0.19660274003363193	0.008346251156101136	-0.1567618356591087	0.036116704153257635
ERF012	0.17593591548646179	0.018483993932564165	-0.16008055252981934	0.03231026043780215
MYB3	0.15065931595316753	0.04410747217394239	-0.15374612484163477	0.03989779381049851
estExt_gwp_gw1.C_550163	0.1528603105549975	0.04106975345852947	-0.15420235072910665	0.03930525167845221
HHO5	0.16732118764190454	0.025173611724118	-0.17257939569726238	0.02088040428830836
DOF1.7	-0.15963847941731846	0.03279675009905667	0.16734647486873097	0.025151276578378626
