"T3s"	"C3s"	"A3s"	"G3s"	"CAI"	"Nc"	"GC3s"	"GC"	"GC1"	"GC2"	"GC3"	"T3"	"C3"	"A3"	"G3"
"T3s"	1	-0.80390101417338	0.0975243081058447	-0.220743425988494	0.581538056729063	-0.229190129631806	-0.735911112257012	-0.541097250305469	-0.141182796937044	-0.283724292622716	-0.745458131006168	0.973548881502887	-0.777827180901294	0.0897942893131995	-0.278412288906656
"C3s"	-0.80390101417338	1	-0.413596979448701	0.152395843257164	-0.425613977988759	0.20918743922425	0.851163770305882	0.609461050413489	0.124789846953202	0.302474650887376	0.844948682046025	-0.758906550210637	0.984595434654194	-0.447925679106254	0.136435347731657
"A3s"	0.0975243081058447	-0.413596979448701	1	-0.517403485741825	0.311950515681233	-0.121110196857322	-0.647925734199418	-0.623050819085832	-0.3089780729425	-0.302485112758042	-0.637725720810108	0.0745531097540138	-0.423693810659402	0.963896197649788	-0.503718148834757
"G3s"	-0.220743425988494	0.152395843257164	-0.517403485741825	1	-0.326020459688442	0.181569709143505	0.558338081421962	0.202888953377171	0.057638710165414	-0.282446489655694	0.554544641407386	-0.305621247789242	0.0857200547416566	-0.533182646618977	0.927897154699376
"CAI"	0.581538056729063	-0.425613977988759	0.311950515681233	-0.326020459688442	1	-0.516048688496019	-0.518653000977734	-0.580691459443205	-0.505127816791968	-0.31063318492196	-0.514230069623357	0.569555651454309	-0.412860863538228	0.236968644427714	-0.399851738680234
"Nc"	-0.229190129631806	0.20918743922425	-0.121110196857322	0.181569709143505	-0.516048688496019	1	0.286019866686785	0.339768480244397	0.362492970898794	0.0459623046960837	0.274362845260576	-0.228704862265144	0.197920802387925	-0.100152586465799	0.166739289752579
"GC3s"	-0.735911112257012	0.851163770305882	-0.647925734199418	0.558338081421962	-0.518653000977734	0.286019866686785	1	0.687197103688924	0.198567788703496	0.178066856662708	0.993599590927514	-0.736459759203484	0.811613142968978	-0.653840742803952	0.546597573343657
"GC"	-0.541097250305469	0.609461050413489	-0.623050819085832	0.202888953377171	-0.580691459443205	0.339768480244397	0.687197103688924	1	0.706794270321262	0.667196117451286	0.684388712165473	-0.478396192057085	0.629101625904824	-0.549984205994941	0.292055512868078
"GC1"	-0.141182796937044	0.124789846953202	-0.3089780729425	0.057638710165414	-0.505127816791968	0.362492970898794	0.198567788703496	0.706794270321262	1	0.420631981344603	0.184471783595689	-0.112357058528458	0.138284483372205	-0.23529848700949	0.122986741657501
"GC2"	-0.283724292622716	0.302474650887376	-0.302485112758042	-0.282446489655694	-0.31063318492196	0.0459623046960837	0.178066856662708	0.667196117451286	0.420631981344603	1	0.177735209700411	-0.161151973285745	0.383325678739514	-0.197402325667522	-0.160833476312232
"GC3"	-0.745458131006168	0.844948682046025	-0.637725720810108	0.554544641407386	-0.514230069623357	0.274362845260576	0.993599590927514	0.684388712165473	0.184471783595689	0.177735209700411	1	-0.746885520653058	0.804265916763514	-0.649156385758426	0.566798607949069
"T3"	0.973548881502887	-0.758906550210637	0.0745531097540138	-0.305621247789242	0.569555651454309	-0.228704862265144	-0.736459759203484	-0.478396192057085	-0.112357058528458	-0.161151973285745	-0.746885520653058	1	-0.699026475210751	0.0568044328737019	-0.370375020076124
"C3"	-0.777827180901294	0.984595434654194	-0.423693810659402	0.0857200547416566	-0.412860863538228	0.197920802387925	0.811613142968978	0.629101625904824	0.138284483372205	0.383325678739514	0.804265916763514	-0.699026475210751	1	-0.463095382569099	0.0619404866648244
"A3"	0.0897942893131995	-0.447925679106254	0.963896197649788	-0.533182646618977	0.236968644427714	-0.100152586465799	-0.653840742803952	-0.549984205994941	-0.23529848700949	-0.197402325667522	-0.649156385758426	0.0568044328737019	-0.463095382569099	1	-0.474870142440261
"G3"	-0.278412288906656	0.136435347731657	-0.503718148834757	0.927897154699376	-0.399851738680234	0.166739289752579	0.546597573343657	0.292055512868078	0.122986741657501	-0.160833476312232	0.566798607949069	-0.370375020076124	0.0619404866648244	-0.474870142440261	1
"p.T3s"	"p.C3s"	"p.A3s"	"p.G3s"	"p.CAI"	"p.Nc"	"p.GC3s"	"p.GC"	"p.GC1"	"p.GC2"	"p.GC3"	"p.T3"	"p.C3"	"p.A3"	"p.G3"	"lowCI.T3s"	"lowCI.C3s"	"lowCI.A3s"	"lowCI.G3s"	"lowCI.CAI"	"lowCI.Nc"	"lowCI.GC3s"	"lowCI.GC"	"lowCI.GC1"	"lowCI.GC2"	"lowCI.GC3"	"lowCI.T3"	"lowCI.C3"	"lowCI.A3"	"lowCI.G3"	"uppCI.T3s"	"uppCI.C3s"	"uppCI.A3s"	"uppCI.G3s"	"uppCI.CAI"	"uppCI.Nc"	"uppCI.GC3s"	"uppCI.GC"	"uppCI.GC1"	"uppCI.GC2"	"uppCI.GC3"	"uppCI.T3"	"uppCI.C3"	"uppCI.A3"	"uppCI.G3"
"T3s"	0	4.38887741176737e-50	6.8151528133972e-07	3.95203578291194e-08	7.77644993704456e-36	0.311716583355543	4.25794746728132e-50	4.48772990868324e-33	0.00403902479098827	5.77056670768117e-07	7.93312485505507e-52	2.65800575520016e-132	6.10683374137211e-46	2.01672069379281e-05	2.16413266020938e-10	1	-0.882632571413147	0.226466144734442	-0.513230021264368	0.698019855346435	-0.220251657688929	-0.882677184851693	-0.804627584884545	-0.349604621323701	-0.484191616952005	-0.888383230100948	0.977262989699686	-0.867584414009475	0.174108391124898	-0.561335625219821	1	-0.797637070100738	0.482269268589779	-0.26514028131528	0.820682407818602	0.0714332320138995	-0.79771052029804	-0.672955427858127	-0.0694057935509561	-0.22884415819533	-0.807125605138771	0.987344041083994	-0.773005251623117	0.439310490271434	-0.326857201388252
"C3s"	4.38887741176737e-50	0	1.50707618535679e-18	0.000398044412312225	6.50270115676827e-25	0.610357923359729	1.28480903587584e-61	1.00813320126219e-37	0.00473227828551767	2.26386854712029e-08	8.27652019088526e-60	5.56727983311884e-42	1.43239318949252e-165	1.52685164990137e-17	0.000313161431487186	-0.882632571413147	1	-0.682424664564949	0.119824995633873	-0.745606831635458	-0.10894383669876	0.852346485979349	0.713895933828601	0.0655872275082655	0.272250098371369	0.844919753202389	-0.851132797198478	0.990462235331027	-0.670484768718998	0.124564615725901	-0.797637070100738	1	-0.491595727630816	0.39345317709133	-0.583341285725894	0.183978760417148	0.915444061717828	0.830752488070265	0.346232923777977	0.518852409754179	0.91103861345728	-0.746398547844951	0.994706720950626	-0.474721248276004	0.397512092432099
"A3s"	6.8151528133972e-07	1.50707618535679e-18	0	1.33134116702687e-19	5.25741961082167e-18	0.298491593329033	6.23598047282152e-38	5.33844457100214e-34	4.04693311479223e-07	8.63716788428324e-08	2.19867870667136e-36	1.19884112706565e-05	1.6524109525154e-19	2.41110288000739e-111	1.8981666368611e-19	0.226466144734442	-0.682424664564949	1	-0.694280971111075	0.482584975149064	-0.222262407686239	-0.831824048816482	-0.810189414111966	-0.488240521018795	-0.505115019648526	-0.823681285648587	0.182693758038366	-0.693251071727212	0.960618174918195	-0.692587532166551	0.482269268589779	-0.491595727630816	1	-0.50849508979204	0.676061560798937	0.0693294523885284	-0.715592414415184	-0.681604333270317	-0.233862785953639	-0.254925769498593	-0.702735189055197	0.446438790663213	-0.507021426533801	0.977997018906569	-0.506072556856727
"G3s"	3.95203578291194e-08	0.000398044412312225	1.33134116702687e-19	0	4.20110164306755e-13	0.0211581746227421	1.34403985781668e-23	5.02610590082709e-10	0.00573678585741963	0.0438383431017888	1.09745454479743e-23	2.41146622862073e-10	0.00321790985411208	3.71241388101123e-20	1.10303299512943e-98	-0.513230021264368	0.119824995633873	-0.694280971111075	1	-0.608780677496773	0.0262017505026062	0.566242523310027	0.317527589754297	0.0608683035356822	-0.291081096118113	0.567413941948444	-0.560426246394409	0.074787500081342	-0.700270589848647	0.94504405312657	-0.26514028131528	0.39345317709133	-0.50849508979204	1	-0.389750711201	0.311028300233092	0.734048586425627	0.554163864095202	0.342056192961878	-0.00427131906341032	0.734843544212699	-0.325671671778175	0.354344241860845	-0.517087144899377	0.969187607239836
"CAI"	7.77644993704456e-36	6.50270115676827e-25	5.25741961082167e-18	4.20110164306755e-13	0	7.07363800446615e-05	4.59942600854854e-40	3.94449543936764e-45	3.52884576880875e-12	1.11433856428275e-09	5.52227731864201e-40	7.41420762503317e-32	4.09232122594843e-25	4.45275380311062e-13	6.06895438987347e-16	0.698019855346435	-0.745606831635458	0.482584975149064	-0.608780677496773	1	-0.421142874691399	-0.842332291455986	-0.864394402854084	-0.593629527833212	-0.547188833919927	-0.841954914491194	0.661144770630874	-0.747315569263708	0.389209440844138	-0.650092308670584	0.820682407818602	-0.583341285725894	0.676061560798937	-0.389750711201	1	-0.15240802375072	-0.732301896603182	-0.767820008082484	-0.36944170117613	-0.308497635633177	-0.731699515325643	0.796995033122378	-0.585881379567159	0.608378934876017	-0.446229896518721
"Nc"	0.311716583355543	0.610357923359729	0.298491593329033	0.0211581746227421	7.07363800446615e-05	0	0.171580178224357	0.0205609682264331	1.01608291850867e-05	0.905609606695167	0.176350732249629	0.251720839892061	0.794346595225335	0.320106217804451	0.0244520413509659	-0.220251657688929	-0.10894383669876	-0.222262407686239	0.0262017505026062	-0.421142874691399	1	-0.0447112286325985	0.0270202848883798	0.185377898653623	-0.137927544412103	-0.0458459799838416	-0.229882299422873	-0.127419938838858	-0.219004276227014	0.0220188105722309	0.0714332320138995	0.183978760417148	0.0693294523885284	0.311028300233092	-0.15240802375072	1	0.24560910092472	0.311767986112652	0.448660544320001	0.155394151899694	0.244540313412093	0.0613334107476323	0.16581414113698	0.0727370219642085	0.307242903306559
"GC3s"	4.25794746728132e-50	1.28480903587584e-61	6.23598047282152e-38	1.34403985781668e-23	4.59942600854854e-40	0.171580178224357	0	2.19053299075144e-54	2.70980206215373e-05	3.71500290068033e-06	2.92875544656784e-199	1.63187608200171e-46	1.41258247439331e-56	3.19851095952193e-34	2.85467670792479e-24	-0.882677184851693	0.852346485979349	-0.831824048816482	0.566242523310027	-0.842332291455986	-0.0447112286325985	1	0.820206254905542	0.169130235980686	0.201259097865021	0.9960353820502	-0.869789775304246	0.830656132124146	-0.81149893599382	0.575096701234941	-0.79771052029804	0.915444061717828	-0.715592414415184	0.734048586425627	-0.732301896603182	0.24560910092472	1	0.896269354352105	0.4351618498625	0.461739694568377	0.997802450192543	-0.776597386950416	0.902535054142585	-0.683645940348753	0.740045904154189
"GC"	4.48772990868324e-33	1.00813320126219e-37	5.33844457100214e-34	5.02610590082709e-10	3.94449543936764e-45	0.0205609682264331	2.19053299075144e-54	0	1.39328154068733e-22	9.89975638998559e-26	5.13482045660553e-53	4.02123795520935e-27	1.4958102362469e-39	8.29053335358665e-25	2.17357654758142e-13	-0.804627584884545	0.713895933828601	-0.810189414111966	0.317527589754297	-0.864394402854084	0.0270202848883798	0.820206254905542	1	0.552432327234568	0.593547373924999	0.813324873094927	-0.763582555358796	0.728390350880515	-0.744704555931234	0.395829704645892	-0.672955427858127	0.830752488070265	-0.681604333270317	0.554163864095202	-0.767820008082484	0.311767986112652	0.896269354352105	1	0.724641797410549	0.752459620209109	0.892126661414771	-0.610222665141611	0.839879879020694	-0.582001302906945	0.613284936259933
"GC1"	0.00403902479098827	0.00473227828551767	4.04693311479223e-07	0.00573678585741963	3.52884576880875e-12	1.01608291850867e-05	2.70980206215373e-05	1.39328154068733e-22	0	1.30124882557548e-07	6.74364899481445e-05	0.00917464715374966	0.00287491755853991	0.000129209416746508	0.000888211798034084	-0.349604621323701	0.0655872275082655	-0.488240521018795	0.0608683035356822	-0.593629527833212	0.185377898653623	0.169130235980686	0.552432327234568	1	0.249455116581748	0.153261776668043	-0.331473348135289	0.0774157093973357	-0.411874253866467	0.103376748920678	-0.0694057935509561	0.346232923777977	-0.233862785953639	0.342056192961878	-0.36944170117613	0.448660544320001	0.4351618498625	0.724641797410549	1	0.500750547334102	0.421861737833472	-0.0489676790240443	0.356653673859863	-0.14143601559028	0.379283995004345
"GC2"	5.77056670768117e-07	2.26386854712029e-08	8.63716788428324e-08	0.0438383431017888	1.11433856428275e-09	0.905609606695167	3.71500290068033e-06	9.89975638998559e-26	1.30124882557548e-07	0	5.80618466207156e-06	0.000431284220373052	8.82665431406431e-11	0.000265497870532982	0.720829467279676	-0.484191616952005	0.272250098371369	-0.505115019648526	-0.291081096118113	-0.547188833919927	-0.137927544412103	0.201259097865021	0.593547373924999	0.249455116581748	1	0.194302891521229	-0.392078730441714	0.336543921662194	-0.400262929574037	-0.172883546248342	-0.22884415819533	0.518852409754179	-0.254925769498593	-0.00427131906341032	-0.308497635633177	0.155394151899694	0.461739694568377	0.752459620209109	0.500750547334102	1	0.456024735105133	-0.118222867830295	0.568744819618026	-0.127783882248646	0.12025341660813
