Gene	TF	Start	End
Glyma.01G043300.1	AGL13	196.0	213.0
Glyma.01G043300.1	AGL27	887.0	900.0
Glyma.01G043300.1	AGL6	196.0	214.0
Glyma.01G043300.1	AGL6	874.0	892.0
Glyma.01G043300.1	AHL12	601.0	608.0
Glyma.01G043300.1	AHL12	831.0	838.0
Glyma.01G043300.1	AHL12	910.0	917.0
Glyma.01G043300.1	AHL12	601.0	608.0
Glyma.01G043300.1	AHL12	831.0	838.0
Glyma.01G043300.1	AHL12	910.0	917.0
Glyma.01G043300.1	AHL13	683.0	690.0
Glyma.01G043300.1	AHL13	728.0	735.0
Glyma.01G043300.1	AHL13	1935.0	1942.0
Glyma.01G043300.1	AHL13	707.0	714.0
Glyma.01G043300.1	AHL13	726.0	733.0
Glyma.01G043300.1	AHL20	601.0	608.0
Glyma.01G043300.1	AHL20	810.0	817.0
Glyma.01G043300.1	AHL20	910.0	917.0
Glyma.01G043300.1	AHL20	601.0	608.0
Glyma.01G043300.1	AHL20	671.0	678.0
Glyma.01G043300.1	AHL20	781.0	788.0
Glyma.01G043300.1	AHL20	855.0	867.0
Glyma.01G043300.1	AHL20	910.0	917.0
Glyma.01G043300.1	AHL25	601.0	608.0
Glyma.01G043300.1	AHL25	910.0	917.0
Glyma.01G043300.1	AHL25	601.0	608.0
Glyma.01G043300.1	AHL25	910.0	917.0
Glyma.01G043300.1	ANL2	208.0	217.0
Glyma.01G043300.1	ANL2	209.0	218.0
Glyma.01G043300.1	AP1	989.0	1001.0
Glyma.01G043300.1	AP1	1320.0	1332.0
Glyma.01G043300.1	ARALYDRAFT_496250	25.0	32.0
Glyma.01G043300.1	AT2G38090	1144.0	1156.0
Glyma.01G043300.1	AT3G10580	1144.0	1157.0
Glyma.01G043300.1	AT5G05790	1144.0	1157.0
Glyma.01G043300.1	AT5G61620	1144.0	1157.0
Glyma.01G043300.1	ATHB-13	754.0	761.0
Glyma.01G043300.1	ATHB-13	1001.0	1008.0
Glyma.01G043300.1	ATHB-15	417.0	429.0
Glyma.01G043300.1	ATHB-16	754.0	761.0
Glyma.01G043300.1	ATHB-16	1001.0	1008.0
Glyma.01G043300.1	ATHB-20	754.0	761.0
Glyma.01G043300.1	ATHB-20	831.0	838.0
Glyma.01G043300.1	ATHB-20	1001.0	1008.0
Glyma.01G043300.1	ATHB-40	752.0	762.0
Glyma.01G043300.1	ATHB-40	1000.0	1010.0
Glyma.01G043300.1	ATHB-53	754.0	762.0
Glyma.01G043300.1	ATHB-53	830.0	838.0
Glyma.01G043300.1	ATHB-53	1000.0	1008.0
Glyma.01G043300.1	At3g11280	1144.0	1157.0
Glyma.01G043300.1	BPC1	126.0	187.0
Glyma.01G043300.1	BPC1	1327.0	1360.0
Glyma.01G043300.1	BPC5	123.0	152.0
Glyma.01G043300.1	BPC5	1324.0	1367.0
Glyma.01G043300.1	BPC6	1328.0	1360.0
Glyma.01G043300.1	BPC6	130.0	192.0
Glyma.01G043300.1	BRN2	59.0	74.0
Glyma.01G043300.1	CCA1	222.0	229.0
Glyma.01G043300.1	CDF2	203.0	209.0
Glyma.01G043300.1	CDF2	79.0	85.0
Glyma.01G043300.1	CDF5	76.0	96.0
Glyma.01G043300.1	CDF5	134.0	154.0
Glyma.01G043300.1	CDF5	239.0	259.0
Glyma.01G043300.1	DF1	747.0	754.0
Glyma.01G043300.1	DOF1.5	198.0	213.0
Glyma.01G043300.1	DOF1.5	75.0	90.0
Glyma.01G043300.1	DOF1.6	203.0	210.0
Glyma.01G043300.1	DOF1.6	78.0	85.0
Glyma.01G043300.1	DOF1.7	75.0	85.0
Glyma.01G043300.1	DOF2.5	203.0	210.0
Glyma.01G043300.1	DOF2.5	78.0	85.0
Glyma.01G043300.1	DOF3.2	77.0	92.0
Glyma.01G043300.1	DOF3.5	203.0	209.0
Glyma.01G043300.1	DOF3.5	79.0	85.0
Glyma.01G043300.1	DOF3.6	76.0	96.0
Glyma.01G043300.1	DOF3.6	668.0	688.0
Glyma.01G043300.1	DOF3.6	857.0	877.0
Glyma.01G043300.1	DOF3.6	130.0	154.0
Glyma.01G043300.1	DOF3.6	889.0	915.0
Glyma.01G043300.1	DOF3.6	982.0	1006.0
Glyma.01G043300.1	DOF4.2	75.0	85.0
Glyma.01G043300.1	DOF4.7	77.0	85.0
Glyma.01G043300.1	DOF4.7	203.0	211.0
Glyma.01G043300.1	DOF5.1	132.0	151.0
Glyma.01G043300.1	DOF5.1	170.0	188.0
Glyma.01G043300.1	DOF5.1	231.0	249.0
Glyma.01G043300.1	DOF5.4	203.0	209.0
Glyma.01G043300.1	DOF5.4	79.0	85.0
Glyma.01G043300.1	DOF5.8	67.0	85.0
Glyma.01G043300.1	DOF5.8	133.0	151.0
Glyma.01G043300.1	DREB2A	389.0	397.0
Glyma.01G043300.1	DREB2C	390.0	397.0
Glyma.01G043300.1	DREB2E	388.0	397.0
Glyma.01G043300.1	EIL3	472.0	479.0
Glyma.01G043300.1	EIL4	65.0	73.0
Glyma.01G043300.1	EIL4	1988.0	1996.0
Glyma.01G043300.1	ERF010	390.0	397.0
Glyma.01G043300.1	ERF011	391.0	397.0
Glyma.01G043300.1	ERF012	391.0	398.0
Glyma.01G043300.1	ERF013	390.0	398.0
Glyma.01G043300.1	ERF014	390.0	404.0
Glyma.01G043300.1	ERF015	390.0	397.0
Glyma.01G043300.1	ERF017	389.0	397.0
Glyma.01G043300.1	ERF019	390.0	398.0
Glyma.01G043300.1	ERF023	390.0	398.0
Glyma.01G043300.1	ERF034	390.0	398.0
Glyma.01G043300.1	ERF036	390.0	397.0
Glyma.01G043300.1	ERF038	390.0	397.0
Glyma.01G043300.1	FUS3	415.0	421.0
Glyma.01G043300.1	GAF1	268.0	282.0
Glyma.01G043300.1	GATA1	124.0	133.0
Glyma.01G043300.1	GATA1	1008.0	1017.0
Glyma.01G043300.1	GATA14	123.0	130.0
Glyma.01G043300.1	GATA14	123.0	130.0
Glyma.01G043300.1	GATA19	547.0	555.0
Glyma.01G043300.1	GATA19	1009.0	1017.0
Glyma.01G043300.1	GATA19	542.0	550.0
Glyma.01G043300.1	GATA20	547.0	554.0
Glyma.01G043300.1	GATA20	1009.0	1016.0
Glyma.01G043300.1	GATA6	124.0	133.0
Glyma.01G043300.1	GLYMA-07G038400	117.0	123.0
Glyma.01G043300.1	HDG1	209.0	218.0
Glyma.01G043300.1	HDG1	208.0	217.0
Glyma.01G043300.1	HDG7	208.0	217.0
Glyma.01G043300.1	HDG7	209.0	218.0
Glyma.01G043300.1	HHO5	474.0	481.0
Glyma.01G043300.1	HRS1	473.0	484.0
Glyma.01G043300.1	HSFA1B	474.0	481.0
Glyma.01G043300.1	IDD1	268.0	279.0
Glyma.01G043300.1	IDD11	268.0	279.0
Glyma.01G043300.1	IDD4	1159.0	1173.0
Glyma.01G043300.1	IDD4	267.0	281.0
Glyma.01G043300.1	IDD5	268.0	281.0
Glyma.01G043300.1	IDD6	267.0	282.0
Glyma.01G043300.1	IDD6	136.0	151.0
Glyma.01G043300.1	IDD6	1158.0	1173.0
Glyma.01G043300.1	IDD7	268.0	281.0
Glyma.01G043300.1	JKD	268.0	279.0
Glyma.01G043300.1	LHY	221.0	229.0
Glyma.01G043300.1	LjTCP20	25.0	32.0
Glyma.01G043300.1	MGP	267.0	279.0
Glyma.01G043300.1	MYB113	1085.0	1094.0
Glyma.01G043300.1	MYB39	292.0	303.0
Glyma.01G043300.1	MYB60	293.0	302.0
Glyma.01G043300.1	MYB80	292.0	303.0
Glyma.01G043300.1	MYB94	293.0	302.0
Glyma.01G043300.1	MYB94	1065.0	1074.0
Glyma.01G043300.1	MYB94	1167.0	1176.0
Glyma.01G043300.1	MYB96	1064.0	1074.0
Glyma.01G043300.1	MYB96	1166.0	1176.0
Glyma.01G043300.1	NAC005	59.0	77.0
Glyma.01G043300.1	NAC005	1940.0	1958.0
Glyma.01G043300.1	NAC005	59.0	77.0
Glyma.01G043300.1	NAC010	59.0	79.0
Glyma.01G043300.1	NAC010	57.0	77.0
Glyma.01G043300.1	NAC010	1938.0	1958.0
Glyma.01G043300.1	NAC013	1940.0	1958.0
Glyma.01G043300.1	NAC031	59.0	77.0
Glyma.01G043300.1	NAC038	59.0	77.0
Glyma.01G043300.1	NAC058	59.0	77.0
Glyma.01G043300.1	NAC073	60.0	74.0
Glyma.01G043300.1	NAC075	58.0	77.0
Glyma.01G043300.1	NAC075	59.0	78.0
Glyma.01G043300.1	NAC087	59.0	77.0
Glyma.01G043300.1	NAC098	59.0	74.0
Glyma.01G043300.1	NLP7	345.0	352.0
Glyma.01G043300.1	NUC	268.0	279.0
Glyma.01G043300.1	OsCCA1	223.0	229.0
Glyma.01G043300.1	PHL12	1087.0	1098.0
Glyma.01G043300.1	PHYPADRAFT_173530	390.0	397.0
Glyma.01G043300.1	PHYPADRAFT_182268	391.0	397.0
Glyma.01G043300.1	PHYPA_011264	390.0	397.0
Glyma.01G043300.1	PIF5	416.0	423.0
Glyma.01G043300.1	PK02532.1	222.0	229.0
Glyma.01G043300.1	PK10344.1	25.0	32.0
Glyma.01G043300.1	RAMOSA1	174.0	187.0
Glyma.01G043300.1	RAMOSA1	1331.0	1350.0
Glyma.01G043300.1	RAP2-1	390.0	397.0
Glyma.01G043300.1	RAP2-9	389.0	397.0
Glyma.01G043300.1	RVE1	221.0	229.0
Glyma.01G043300.1	RVE1	653.0	661.0
Glyma.01G043300.1	RVE4	221.0	229.0
Glyma.01G043300.1	RVE4	725.0	733.0
Glyma.01G043300.1	RVE5	221.0	229.0
Glyma.01G043300.1	RVE6	221.0	229.0
Glyma.01G043300.1	RVE7	221.0	229.0
Glyma.01G043300.1	RVE7L	221.0	229.0
Glyma.01G043300.1	RVE8	221.0	229.0
Glyma.01G043300.1	SGR5	242.0	254.0
Glyma.01G043300.1	SGR5	1081.0	1093.0
Glyma.01G043300.1	SGR5	268.0	280.0
Glyma.01G043300.1	SOL1	819.0	833.0
Glyma.01G043300.1	SOL1	951.0	965.0
Glyma.01G043300.1	SOL1	258.0	272.0
Glyma.01G043300.1	SOL1	554.0	568.0
Glyma.01G043300.1	SOL1	826.0	840.0
